Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,mean_squared_error,mean_absolute_error,median_absolute_error,r2_score,explained_variance_score,Training Time,Inference Time
airfoil_self_noise_uci,Boruta,4,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.0163661,0.099957288,0.082739358,0.396215875,0.403174537,57.19506607,0.00225639
airfoil_self_noise_uci,Cobra,4,"{'epsilon': 0.11664408238100117, 'machine_list': 'basic')",0.013155711,0.084974465,0.068350027,0.514654701,0.523290058,516.3797956,20.87428094
airfoil_self_noise_uci,Ewa,4,"{'beta': 0.001, 'machine_list': 'basic')",0.01403802,0.083209092,0.055867072,0.48210427,0.520495884,9.585118994,0.021500537
airfoil_self_noise_uci,AdaBoost,5,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.008817497,0.076575646,0.072856914,0.739176696,0.74123027,3.962824938,0.009203593
airfoil_self_noise_uci,Boruta,5,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.01979687,0.112380411,0.098021024,0.414404634,0.41464885,57.138722,0.001498049
airfoil_self_noise_uci,Cobra,5,"{'epsilon': 0.16852563771107396, 'machine_list': 'basic')",0.011853661,0.092679049,0.090766411,0.649366351,0.650793638,515.9586,20.93161139
airfoil_self_noise_uci,Ewa,5,"{'beta': 0.001, 'machine_list': 'basic')",0.010506246,0.077477091,0.06071611,0.689223157,0.726834404,9.578734049,0.02144009
airfoil_self_noise_uci,AdaBoost,6,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.006630613,0.065731584,0.052333581,0.767273794,0.769222249,4.398810831,0.009247691
airfoil_self_noise_uci,Boruta,6,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.019068052,0.109199494,0.087575178,0.330735318,0.347136703,57.13528916,0.001507293
airfoil_self_noise_uci,Cobra,6,"{'epsilon': 0.1518882226226868, 'machine_list': 'basic')",0.012733264,0.089225224,0.080518583,0.553078407,0.603328689,516.3364693,20.97020626
